eggs,nonemerging,emerging,deaths,total
0,0,948,0,948
0,0,4,10,942
0,0,0,31,911
0,0,0,53,858
2149,121,0,57,801
4627,260,0,125,676
4523,281,0,172,504
6030,458,0,107,397
2684,120,0,149,248
3373,176,0,102,146
446,9,1763,108,1801
133,2,4487,53,6235
17,1,1830,2091,5974
56,2,7952,5005,8921
58,10,1953,4264,6610
0,0,2419,3056,5973
6,1,1966,2266,5673
25,3,132,1930,3875
30,1,36,1550,2361
0,0,16,1025,1352
0,0,85,211,1226
548,30,17,331,912
461,47,0,391,521
1638,111,5,163,363
1524,66,41,175,229
2338,270,10,97,142
1473,105,0,60,82
3287,346,494,34,542
1367,220,424,27,939
617,52,1541,49,2431
936,76,1317,61,3687
112,4,2016,1160,4543
91,8,1496,1504,4535
0,0,2898,1992,5441
0,0,855,1884,4412
0,0,469,1859,3022
1,1,925,1291,2656
47,2,522,1211,1967
8,1,55,727,1295
0,0,45,425,915
77,3,0,364,551
598,37,0,238,313
6814,513,0,146,167
1537,91,5,77,95
1296,48,45,47,93
451,11,2,35,60
1863,185,47,39,68
2408,303,5205,14,5259
358,29,1496,82,6673
847,19,1957,3189,5441
14,14,855,2309,3987
0,0,501,1536,2952
62,5,1771,1075,3648
4,2,1607,1033,4222
39,2,674,1007,3889
0,0,197,1791,2295
0,0,700,1486,1509
107,0,0,581,928
172,15,16,205,739
828,69,43,216,566
1216,108,0,183,383
2109,123,37,146,274
3460,251,0,82,192
2438,229,105,71,226
3234,175,326,33,519
1574,130,729,24,1224
7445,900,1072,60,2236
2019,167,1747,165,3818
672,62,3794,1404,6208
0,0,2576,2788,5996
0,0,2220,2427,5789
0,0,3248,2385,6652
0,0,4808,3521,7939
33,5,1052,4123,4868
26,5,1270,2186,3952
32,6,95,1335,2712
0,0,3,981,1734
321,10,0,510,1224
230,25,0,521,703
392,30,18,213,508
253,16,10,152,366
324,65,19,106,279
1369,155,27,63,243
1252,94,120,20,343
977,92,435,17,761
1336,48,298,34,1025
1450,155,247,51,1221
2520,287,456,77,1600
3057,419,897,230,2267
302,19,1459,436,3290
166,19,721,540,3471
20,4,1258,1092,3637
27,3,1045,979,3703
70,0,2300,1127,4876
4,0,1782,1294,5364
38,2,1252,1726,4890
5,2,232,2093,3029
48,3,53,1132,1950
115,6,23,748,1225
364,17,50,199,1076
1034,65,30,201,905
1295,110,39,172,772
2383,144,0,144,628
2435,188,33,188,473
2535,104,113,47,539
1701,110,383,97,825
1601,152,928,51,1702
580,62,1201,35,2868
460,55,2175,570,4473
363,18,1668,920,5221
0,0,2980,1609,6592
106,2,1872,2064,6400
80,0,1228,2876,4752
0,0,461,1692,3521
303,16,660,1462,2719
755,77,165,953,1931
536,34,16,447,1500
802,96,106,524,1082
688,38,78,311,849
1244,172,0,75,774
1662,145,247,157,864
5050,432,623,179,1308
926,101,479,163,1624
3011,224,775,175,2224
1461,134,678,479,2423
526,48,1078,542,2959
107,10,1504,916,3547
136,29,4771,1081,7237
0,0,612,2631,5218
0,0,2869,2776,5311
8,3,1149,2187,4273
10,2,592,1595,3270
418,44,224,1213,2281
616,28,47,779,1549
1319,113,3,461,1091
396,35,0,295,796
1636,90,3,189,610
1249,76,10,175,445
975,76,621,172,894
813,52,668,108,1454
699,55,865,57,2262
1908,147,227,126,2363
952,62,1724,240,3847
477,66,1136,1107,3876
206,24,855,796,3935
121,11,746,1202,3479
39,3,794,858,3415
70,6,1466,1020,3861
162,15,759,1049,3571
3,0,636,1094,3113
170,16,172,966,2319
300,19,127,816,1630
417,25,110,443,1297
623,49,50,486,861
1061,93,118,218,761
1852,172,79,181,659
1766,155,147,105,701
2681,313,143,82,762
2577,302,524,98,1188
2333,293,694,104,1778
1383,153,758,108,2428
5915,422,1661,283,3806
1241,135,1443,730,4519
38,5,2440,1313,5646
108,5,1628,2423,4851
10,2,2180,1657,5374
2,2,1235,1896,4713
65,5,4323,1669,7367
128,11,2193,2324,7236
6,4,806,2797,5245
71,1,99,1708,3636
336,31,45,1264,2417
343,23,0,1159,1258
991,52,1,493,766
1709,174,61,348,479
766,51,115,192,402
749,62,2,156,248
6267,573,87,81,254
3750,440,397,47,604
4393,559,783,41,1346
1527,153,1057,61,2342
5520,635,1161,175,3328
756,66,1075,804,3599
1166,96,1762,1280,4081
1294,94,5589,2027,7643
206,17,4573,4297,7919
253,18,1412,3233,6098
233,47,5092,4294,6896
1024,76,1218,2480,5634
185,11,834,1334,5134
112,11,805,1751,4188
521,43,843,1562,3469
287,26,311,1338,2442
650,36,46,557,1931
1254,63,806,947,1790
1977,145,431,499,1722
976,65,161,395,1488
2880,234,165,237,1416
2505,254,463,510,1369
1394,132,545,248,1666
2233,199,1247,286,2627
629,37,1888,675,3840
683,45,938,734,4044
397,16,2693,1808,4929
725,48,1828,1646,5111
14,3,1649,3608,3152
7,3,1906,596,4462
146,13,556,936,4082
285,12,457,1513,3026
694,57,492,1929,1589
558,31,775,289,2075
1221,85,176,422,1829
901,70,16,457,1388
1754,166,28,267,1149
2066,242,260,441,968
1311,142,476,274,1170
452,24,611,316,1465
3092,317,403,192,1676
3747,303,1659,260,3075
541,31,1470,730,3815
1606,115,1943,1119,4639
884,69,1130,1345,4424
675,44,550,2190,2784
1037,74,4482,1406,5860
1804,117,1393,1472,5781
765,48,1007,1891,4897
733,38,1001,1978,3920
981,63,1144,1229,3835
581,35,907,1124,3618
311,34,557,1125,3050
1313,119,1550,828,3772
946,56,757,1012,3517
755,51,919,1086,3350
951,143,814,1146,3018
422,8,434,827,2625
330,16,358,571,2412
188,13,626,817,2221
1643,99,1004,606,2619
1178,90,1126,542,3203
1861,110,364,861,2706
1717,196,909,898,2717
1031,90,323,865,2175
2973,280,196,743,1628
2225,254,1507,747,2388
1983,243,1959,670,3677
1745,174,291,812,3156
1321,82,2078,962,4272
1942,130,1122,1623,3771
433,33,2525,1341,4955
2009,194,2016,1387,5584
254,19,841,2534,3891
248,9,1579,1969,3501
2511,228,2121,1186,4436
2404,163,1367,1434,4369
1652,138,814,1789,3394
2657,186,1771,1296,3869
4169,484,405,1352,2922
2525,571,165,1244,1843
1907,188,1863,869,2837
1498,161,2703,850,4690
1197,70,1409,980,5119
3238,346,2229,1509,5839
476,38,3787,4237,5389
819,60,1568,1964,4993
1094,59,1234,1781,4446
1238,99,2131,1726,4851
1167,84,985,1593,4243
2082,309,2216,1839,4620
3168,225,1424,1195,4849
1645,252,600,1785,3664
3892,642,391,1039,3016
4603,535,1060,1195,2881
2717,416,1779,839,3821
2162,376,1510,1031,4300
1998,192,971,1103,4168
3547,407,2668,1390,5446
2825,361,2713,2682,5477
4377,376,5117,2015,8579
1189,100,1907,2953,7533
1460,155,2606,3255,6884
279,28,1108,3865,4127
188,29,3394,1975,5546
1190,155,2097,1330,6313
450,37,3062,2725,6650
2189,259,2320,2666,6304
1276,103,1444,2906,4842
2174,291,938,1428,4352
2737,254,230,1367,3215
2822,281,577,1140,2652
2460,274,610,932,2330
1793,199,1695,902,3123
603,39,1226,394,3955
509,42,1445,906,4494
1194,139,1967,1681,4780
2047,218,3093,2120,5753
1601,117,2302,2500,5555
631,77,1711,1554,5712
1717,125,702,1628,4786
1560,203,722,1442,4066
2512,197,347,1522,2891
2617,278,1502,1123,3270
4033,427,2083,949,4404
8103,795,1001,1007,4398
7991,745,841,1127,4112
10546,1020,1583,1294,4401
5230,504,2725,1347,5779
10857,944,2293,1475,6597
3167,330,3782,2288,8091
2164,223,6819,3628,11282
1405,114,7638,6474,12446
389,21,9769,8503,13712
0,0,4728,7423,11017
156,21,10346,6680,14683
2,0,2216,9641,7258
676,36,1314,2377,6195
652,47,2166,2399,5962
2622,215,377,2126,4213
763,105,34,1472,2775
2109,155,90,1084,1781
2293,262,72,917,936
852,76,571,609,898
1926,114,565,303,1160
3428,413,2260,262,3158
3465,383,577,349,3386
3454,341,2192,1031,4547
8258,1011,1475,1199,4823
1711,175,1479,1332,4970
1019,96,1624,1654,4940
952,65,2206,1353,5793
1767,238,4270,2227,7836
1351,121,1793,5172,4457
812,78,4769,2325,6901
331,18,4361,3071,8191
427,40,1340,2765,6766
626,47,1277,2878,5165
638,92,1162,3408,2919
609,79,1273,777,3415
1520,152,636,620,3431
4004,505,630,899,3162
3131,394,244,881,2525
2882,206,572,807,2290
2613,370,357,692,1955
2543,280,625,644,1936
4525,432,1053,605,2384
4127,844,2930,648,4666
1729,300,3606,1053,7219
2899,506,2587,1500,8306
3383,778,2232,2511,8027
3367,656,1884,2901,7010
2623,510,3451,2312,8149
4005,600,3192,2392,8949
3489,516,2070,4914,6105
5893,2704,2259,3040,5324
5907,1955,2610,2168,5766
3671,1522,1942,1494,6214
7,0,2994,2201,7007
0,0,3250,2103,8154
0,0,3510,2615,9049
0,0,2319,4485,6883
0,0,4967,3747,8103
0,0,2483,3783,6803
